Day,Cause,# Irregularities
"Mar 1, 2023",ACCIDENT,14
"Mar 1, 2023",HAZARD,5
"Mar 2, 2023",HAZARD,13
"Mar 2, 2023",ACCIDENT,5
"Mar 3, 2023",HAZARD,3
"Mar 3, 2023",ACCIDENT,9
"Mar 4, 2023",ACCIDENT,9
"Mar 4, 2023",HAZARD,6
"Mar 5, 2023",ACCIDENT,3
"Mar 5, 2023",HAZARD,1
"Mar 6, 2023",HAZARD,14
"Mar 6, 2023",ACCIDENT,13
"Mar 7, 2023",ACCIDENT,3
"Mar 7, 2023",HAZARD,9
"Mar 8, 2023",HAZARD,9
"Mar 8, 2023",ACCIDENT,4
"Mar 9, 2023",ACCIDENT,15
"Mar 9, 2023",HAZARD,11
"Mar 10, 2023",HAZARD,10
"Mar 10, 2023",ACCIDENT,11
"Mar 11, 2023",ACCIDENT,9
"Mar 11, 2023",HAZARD,2
"Mar 12, 2023",ACCIDENT,2
"Mar 13, 2023",ACCIDENT,7
"Mar 13, 2023",HAZARD,3
"Mar 14, 2023",ACCIDENT,26
"Mar 14, 2023",HAZARD,5
"Mar 15, 2023",HAZARD,8
"Mar 15, 2023",ACCIDENT,11
"Mar 16, 2023",ACCIDENT,13
"Mar 16, 2023",HAZARD,9
"Mar 17, 2023",ACCIDENT,5
"Mar 17, 2023",HAZARD,4
"Mar 18, 2023",ACCIDENT,2
"Mar 18, 2023",HAZARD,1
"Mar 19, 2023",ACCIDENT,1
"Mar 20, 2023",ACCIDENT,5
"Mar 20, 2023",HAZARD,6
"Mar 21, 2023",ACCIDENT,12
"Mar 21, 2023",HAZARD,9
"Mar 22, 2023",HAZARD,5
"Mar 22, 2023",ACCIDENT,7
"Mar 23, 2023",ACCIDENT,16
"Mar 23, 2023",HAZARD,9
"Mar 24, 2023",HAZARD,3
"Mar 24, 2023",ACCIDENT,10
"Mar 25, 2023",ACCIDENT,6
"Mar 25, 2023",HAZARD,3
"Mar 26, 2023",ACCIDENT,4
"Mar 27, 2023",HAZARD,12
"Mar 27, 2023",ACCIDENT,6
"Mar 28, 2023",ACCIDENT,15
"Mar 28, 2023",HAZARD,7
"Mar 29, 2023",ACCIDENT,11
"Mar 29, 2023",HAZARD,7
"Mar 30, 2023",ACCIDENT,10
"Mar 30, 2023",HAZARD,5
"Mar 31, 2023",HAZARD,19
"Mar 31, 2023",ACCIDENT,20